key,doctype,approx_size,cosmos_name,cosmos_elapsed,cosmos_size,redis_name,redis_elapsed,redis_size
27006,zipcode,206,27006,0.10075831413269043,566,27006,0.02574324607849121,206
27007,zipcode,205,27007,0.008887529373168945,565,27007,0.003702878952026367,205
27009,zipcode,209,27009,0.00795602798461914,569,27009,0.0017366409301757812,209
27010,zipcode,199,27010,0.0070264339447021484,559,27010,0.001547098159790039,199
27011,zipcode,208,27011,0.017168760299682617,568,27011,0.0016553401947021484,208
27012,zipcode,207,27012,0.007164716720581055,567,27012,0.0019273757934570312,207
27013,zipcode,206,27013,0.006524801254272461,566,27013,0.002185344696044922,206
27014,zipcode,208,27014,0.01669168472290039,568,27014,0.0015251636505126953,208
27016,zipcode,204,27016,0.006892681121826172,564,27016,0.001605987548828125,204
27017,zipcode,205,27017,0.007041454315185547,565,27017,0.0016973018646240234,205
27018,zipcode,208,27018,0.006967782974243164,568,27018,0.001897573471069336,208
27019,zipcode,208,27019,0.006384849548339844,568,27019,0.0015497207641601562,208
27020,zipcode,209,27020,0.007117033004760742,569,27020,0.0014901161193847656,209
27021,zipcode,203,27021,0.00651240348815918,563,27021,0.0016112327575683594,203
27022,zipcode,210,27022,0.006658792495727539,570,27022,0.0018012523651123047,210
27023,zipcode,207,27023,0.0064580440521240234,567,27023,0.0016160011291503906,207
27024,zipcode,203,27024,0.006546974182128906,563,27024,0.001611471176147461,203
27025,zipcode,206,27025,0.006772041320800781,566,27025,0.0018358230590820312,206
27027,zipcode,206,27027,0.006591796875,566,27027,0.0016167163848876953,206
27028,zipcode,209,27028,0.006929636001586914,569,27028,0.0015530586242675781,209
27030,zipcode,209,27030,0.007256507873535156,569,27030,0.001880645751953125,209
27031,zipcode,203,27031,0.006772518157958984,563,27031,0.0013380050659179688,203
27040,zipcode,208,27040,0.006850719451904297,568,27040,0.0015337467193603516,208
27041,zipcode,211,27041,0.006827831268310547,571,27041,0.0017652511596679688,211
27042,zipcode,208,27042,0.006594419479370117,568,27042,0.002156496047973633,208
27043,zipcode,205,27043,0.006970882415771484,565,27043,0.0015044212341308594,205
27045,zipcode,207,27045,0.006623268127441406,567,27045,0.0019996166229248047,207
27046,zipcode,210,27046,0.006731271743774414,570,27046,0.0016467571258544922,210
27047,zipcode,203,27047,0.006542682647705078,563,27047,0.001596212387084961,203
27048,zipcode,209,27048,0.00650477409362793,569,27048,0.0020859241485595703,209
27049,zipcode,196,27049,0.006739139556884766,556,27049,0.0016241073608398438,196
27050,zipcode,209,27050,0.006663084030151367,569,27050,0.0012307167053222656,209
27051,zipcode,209,27051,0.0067903995513916016,569,27051,0.00450587272644043,209
27052,zipcode,210,27052,0.006592273712158203,570,27052,0.0018756389617919922,210
27053,zipcode,208,27053,0.006785392761230469,568,27053,0.0018932819366455078,208
27054,zipcode,207,27054,0.006736278533935547,567,27054,0.0017399787902832031,207
27055,zipcode,210,27055,0.0068817138671875,570,27055,0.00418853759765625,210
27094,zipcode,201,27094,0.006616830825805664,561,27094,0.0013422966003417969,201
27098,zipcode,201,27098,0.00654292106628418,561,27098,0.0014851093292236328,201
27099,zipcode,201,27099,0.0067691802978515625,561,27099,0.001600503921508789,201
27101,zipcode,210,27101,0.006695747375488281,570,27101,0.0014145374298095703,210
27102,zipcode,204,27102,0.006500959396362305,564,27102,0.0016009807586669922,204
27103,zipcode,212,27103,0.006876945495605469,572,27103,0.0017042160034179688,212
27104,zipcode,212,27104,0.006521701812744141,572,27104,0.0018725395202636719,212
27105,zipcode,212,27105,0.006808757781982422,572,27105,0.0014884471893310547,212
27106,zipcode,212,27106,0.006672859191894531,572,27106,0.001699686050415039,212
27107,zipcode,212,27107,0.0067920684814453125,572,27107,0.0015711784362792969,212
27108,zipcode,204,27108,0.006982326507568359,564,27108,0.0017066001892089844,204
27109,zipcode,212,27109,0.0071909427642822266,572,27109,0.0018587112426757812,212
27110,zipcode,212,27110,0.006549358367919922,572,27110,0.0020072460174560547,212
27111,zipcode,204,27111,0.006689786911010742,564,27111,0.0015511512756347656,204
27113,zipcode,204,27113,0.007106304168701172,564,27113,0.0017576217651367188,204
27114,zipcode,204,27114,0.007061958312988281,564,27114,0.001680135726928711,204
27115,zipcode,204,27115,0.006615638732910156,564,27115,0.0017826557159423828,204
27116,zipcode,202,27116,0.006673097610473633,562,27116,0.0013866424560546875,202
